tissue,cell,max_obj_value,genes
breast,breast myoepithelial cells,0.0,"['CLEC14A', 'ANGPTL1', 'RPS15A', 'SCARA5', 'L1CAM', 'DCBLD1', 'SLAMF6', 'EPHA5', 'HTR1D', 'EMILIN1', 'SLC12A9', 'SLC15A4', 'MFAP3L', 'SULF2', 'IL3RA', 'C7orf42', 'IGLON5', 'SLC39A8', 'PRSS35', 'TNFRSF13B', 'DAG1', 'RECK', 'LRRN4CL', 'RSL1D1', 'SV2A', 'RAET1G', 'EMR2', 'NAGLU', 'EFNA4', 'PKM2', 'NPTX1', 'CPD', 'SDK1', 'FUT11', 'PRKCSH', 'TRBC1', 'ALPP', 'EMID2', 'CACNA2D1', 'EPHB4', 'PLOD2', 'LTB', 'CANT1', 'FCGR3B', 'PPAP2A', 'TOR1AIP1', 'CNNM4', 'C10orf72', 'TRAC', 'F2R', 'GPR125', 'PPIB', 'LEMD2', 'ST6GALNAC3', 'SERPING1', 'EPHA4', 'ROBO1', 'NEU1', 'IGHG4', 'NLGN4X', 'TMPRSS5', 'IL7R', 'LRRN1', 'ANPEP', 'SPPL2A', 'ITGB4', 'GALNS', 'SLC2A13', 'TTMA', 'SORCS1', 'GGT3P', 'SORL1', 'EVI2A', 'SLC45A2', 'EMILIN2', 'NOTCH2', 'FAM174B', 'PDCD1LG2', 'GABRB3', 'CLEC5A', 'APR3', 'CCT4', 'TMC7', 'NEGR1', 'SLC2A1', 'EDNRA', 'TCRB', 'ADAM17', 'ST3GAL4', 'ST14', 'UGGT1', 'LOXL4', 'CD244', 'ITFG3', 'XRCC6', 'C4BPA', 'ODZ4', 'DCHS1', 'ITGA2', 'C9orf5', 'GDF15', 'CDH5', 'TLR4', 'SEMA4D', 'CMKLR1', 'MFI2', 'HPX', 'CPM', 'CDH11', 'TMEM30B', 'HSPD1', 'PPAP2B', 'CD101', 'ORM1', 'SLITRK4', 'PTPRZ1', 'EEF1A1', 'GXYLT1', 'UNC5B', 'INSR', 'GREM1', 'CD46', 'PTGER2', 'SEC22B', 'ANO6', 'CD34', 'CD151', 'IL2RG', 'ZDHHC23', 'COL14A1', 'SGCE', 'SUSD5', 'FKBP9', 'BTD', 'NTRK2', 'FCGRT', 'LRRC8A', 'TRBV12-3', 'SLCO2A1', 'SLC7A1', 'BST1', 'ULBP2', 'CD47', 'GOLIM4', 'KIAA0195', 'AREG', 'TSPAN8', 'LAMA5', 'GRIA2', 'FAM174A', 'CACNG6', 'NCAM1', 'PRF1', 'EPHB3', 'SIGLEC6', 'NAGLT1', 'IL13RA1', 'COLEC12', 'CD3D', 'COL6A6', 'STIM1', 'ATP1B2', 'HLA-DQB1', 'KIRREL', 'GFRA2', 'HS2ST1', 'PTPRM', 'PCDHGB5', 'ACCN2', 'ACVR2B', 'ABCC4', 'ERO1LB', 'PTPRJ', 'ENPP3', 'FAM171A2', 'CLCA2', 'C4BPB', 'PCDHGC3', 'PTAFR', 'ELFN2', 'NCR3', 'UBA1', 'ICAM2', 'SIGLEC12', 'CPVL', 'LRP1', 'HEG1', 'SMPD1', 'ACVR2A', 'STT3A', 'SLC19A2', 'SLC4A2', 'TSPAN18', 'PCDH18', 'IL27RA', 'PCDHGA12', 'SEMA7A', 'NPR3', 'IFNAR1', 'KLRC1', 'CSF2RA', 'A2M', 'PDGFRB', 'NTM', 'IGHA1', 'TSPAN33', 'FLRT1', 'PA2G4', 'FAT3', 'EMP3', 'UNC5A', 'PLXNA3', 'RCN3', 'PLOD3', 'PON2', 'LILRA1', 'CXCR7', 'PTK7', 'IGSF8', 'ATG9A', 'LRP1B', 'NAGA', 'PCDH17', 'CRB2', 'CASC4', 'IL13RA2', 'VDAC1', 'CSF1', 'IL2RA', 'TMCO3', 'NELL1', 'PCDHA11', 'CR2', 'PVRL2', 'GLCE', 'IL18R1', 'ADAM19', 'SLC43A3', 'CNTNAP1', 'VAMP5', 'TUBB6', 'PTPRA', 'CTSD', 'POMT1', 'C1orf85', 'CNTNAP2', 'LTBP3', 'CCR4', 'MRGPRF', 'MAN2B1', 'IL6ST', 'LASS6', 'B3GNT1', 'EPHA2', 'NKTR', 'SCARB2', 'APLF', 'ODZ3', 'CXCR5', 'CLEC1A', 'FGL2', 'TPI1', 'MMP13', 'ITGAX', 'LPHN2', 'SLC2A5', 'ARSE', 'S1PR1', 'VIPR1', 'PPT2', 'CDCP1', 'S1PR4', 'CD302', 'PLXNB1', 'SLC6A8', 'TUBB', 'JAM2', 'C1orf159', 'CADM2', 'C1orf9', 'ABCA8', 'ITFG1', 'PLBD2', 'ABCA5', 'LTB4R', 'ITGA5', 'SIGLEC10', 'EFNB2', 'BDNF', 'UNC84A', 'CNR2', 'TMEM63A', 'PLVAP', 'LRPAP1', 'CLCN2', 'RPL19', 'IGFBP3', 'SLC22A4', 'ABI3BP', 'KIAA0922', 'AQP1', 'A4GALT', 'IGF1R', 'ENPEP', 'RHBDF2', 'RPL37A', 'AOC3', 'ABCA2', 'FAM38B', 'SNRPD2', 'DDR2', 'SULF1', 'COL3A1', 'NCEH1', 'LSAMP', 'LEPRE1', 'TMEM30A', 'SLC6A14', 'OSCAR', 'PDE4B', 'CD37', 'NAALADL2', 'GPR65', 'CD163', 'PLXDC1', 'FAM38A', 'ENTPD7', 'MGAT5B', 'EPCAM', 'KIAA0319L', 'KCNK17', 'YWHAQ', 'GLT8D2', 'CALU', 'ST3GAL5', 'NPTX2', 'PIGG', 'OPCML', 'CD79A', 'TUBA4A', 'ENTPD1', 'HEPACAM', 'RPL21', 'SLC29A2', 'ACVR1', 'ERBB2', 'TNFRSF14', 'LY6K', 'HTR2B', 'VASN', 'SLC38A1', 'ALPL', 'ACAM', 'WNT5B', 'TMEM63C', 'AGRN', 'SLC36A4', 'TMEM132B', 'RAMP3', 'TSPAN14', 'QSOX2', 'INTS12', 'AEBP1', 'SLC2A4', 'LMBRD1', 'GGT7', 'KIR3DL1', 'TLR9', 'THBS3', 'HHLA2', 'GPR39', 'HLA-DPA1', 'APOD', 'MFGE8', 'RALY', 'PGCP', 'NOTCH1', 'CR1', 'CTSC', 'FKBP10', 'SERPINF1', 'P2RY11', 'SGK196', 'CSPG5', 'SLC22A23', 'TNFRSF21', 'EGFR', 'NXF2', 'TSPAN31', 'SLC1A5', 'PPM1L', 'SCAP', 'SLC2A9', 'TM2D3', 'POFUT2', 'RYK', 'UNQ870/PRO1886', 'PMEPA1', 'CD36', 'FAM171A1', 'SEMA4A', 'MAN2A1', 'TMEM194A', 'CD109', 'TLR3', 'MDGA1', 'TM2D1', 'CHL1', 'BAT2L2', 'SGCB', 'TCTN2', 'SLC26A6', 'AMICA1', 'HSP90B1', 'S1PR5', 'TMEM156', 'LAMC1', 'KLRG1', 'KIR2DS1', 'ITGB2', 'CD27', 'FCRL3', 'TMEM2', 'UGT8', 'IKIP', 'PVRL3', 'SCARA3', 'BIRC6', 'CD58', 'TGFB1', 'SLC29A4', 'APLNR', 'DISP2', 'GPR44', 'TMEM200B', 'SERPINH1', 'TSHR', 'FZD4', 'B3GALTL', 'TNFRSF25', 'MST1R', 'SERPINI1', 'SLITRK2', 'HNRNPU', 'SLC26A2', 'LTBR', 'OLR1', 'C3', 'CRELD2', 'ANO5', 'ITGA11', 'FAM189B', 'SLC6A11', 'TRHR', 'CD63', 'OGN', 'SEMA4B', 'FGB', 'PLXNB3', 'HGSNAT', 'SSR1', 'GPR176', 'BCHE', 'CD80', 'TMED9', '0', 'UNC5C', 'EMP1', 'CD1C', 'KCNA3', 'CDH13', 'LAMB2', 'SLC26A5', 'IL17RD', 'SC65', 'HLA-DRB3', 'SILV', 'HLA-F', 'SIGLEC5', 'IGF2R', 'PKD2', 'MS4A1', 'LAMA4', 'PECAM1', 'COL6A1', 'PTPRS', 'P2RX1', 'SLC3A2', 'PCDHGA9', 'DPY19L4', 'BCAM', 'WBSCR17', 'PLXNC1', 'SLC43A1', 'SCN7A', 'SORT1', 'EPHA1', 'SIGLEC9', 'CTSK', 'NTNG1', 'UGT1A9', 'B4GALT3', 'DMTF1', 'PRSS23', 'ERLIN1', 'C11orf24', 'RERG', 'CAPNS1', 'SELPLG', 'COL6A2', 'MPZL1', 'IL17D', 'ITGB7', 'PRNP', 'ITGB8', 'TNFRSF11B', 'GGCX', 'ITIH2', 'CNTFR', 'TMEM87B', 'MFAP4', 'CCRN4L', 'BGN', 'HP', 'SIGLEC7', 'CD7', 'ASPN', 'SLAMF1', 'DSC2', 'CXCR1', 'ATP1B1', 'FLRT2', 'AGTR1', 'HEPACAM2', 'CSPG4', 'TTYH3', 'TTYH2', 'NTRK1', 'PODXL2', 'RPN2', 'TGFBR2', 'PCDHGB4', 'FREM2', 'TFPI2', 'ADAM12', 'GRID1', 'TMEM132E', 'ASPH', 'CHST6', 'ZC3HAV1', 'CRTAP', 'CD53', 'PIGT', 'DBH', 'PCDHGB1', 'GNS', 'HLA-E', 'S1PR2', 'TMED7', 'KNG1', 'CDH9', 'DPP7', 'FLG2', 'ADORA1', 'NPR2', 'POSTN', 'MMRN1', 'ADCY3', 'LNPEP', 'LZTFL1', 'LILRB1', 'IGSF1', 'TXNDC15', 'HSPA13', 'NT5E', 'SLC44A2', 'THBD', 'WNT5A', 'IFI30', 'ISLR', 'RFNG', 'CD55', 'CD160', 'TPTE', 'TNFRSF11A', 'FSTL1', 'CES1', 'NTN3', 'HLA-DQA2', 'TRAP1', 'CLU', 'ADRB2', 'ENG', 'IL1RL2', 'SUSD1', 'PPAP2C', 'HYOU1', 'IL10RB', 'PCDH9', 'NPR1', 'HLA-DRB5', 'SCN4B', 'PTPRB', 'SLC22A5', 'KCNE3', 'SEZ6L2', 'ATF6B', 'KIR2DL3', 'CD180', 'PXDN', 'MICA', 'IDH2', 'PRELP', 'CXCL16', 'ADRA2C', 'CEACAM8', 'RYR3', 'C4A', 'FKRP', 'ITGB3', 'CD5', 'RNF149', 'IL1RAP', 'FLNA', 'KIAA0494', 'MINPP1', 'CHSY3', 'GPR110', 'DNER', 'TMEM63B', 'FCER2', 'ECE1', 'PCDHGB7', 'LAMA2', 'GPR174', 'LRRC8C', 'HLA-DRB1', 'VWF', 'TMEFF1', 'PCDH1', 'GBA', 'AMIGO1', 'MYL6B', 'TMEM25', 'KLRB1', 'EFNA1', 'SELL', 'TUBB2C', 'MCEMP1', 'MCA32', 'BST2', 'RPL35A', 'ADAMTSL4', 'NAV2', 'TACSTD2', 'LRRC15', 'LMAN2L', 'LRP11', 'BSCL2', 'ANGPT1', 'F11R', 'PCYOX1', 'LAMB3', 'C19orf6', 'TMEM206', 'PTPRF', 'MFSD4', 'HLA-DQA1', 'SERPINB2', 'ST8SIA4', 'PCBP3', 'CDH4', 'GLT25D2', 'VNN2', 'SLC12A5', 'HNRNPK', 'CD28', 'CD274', 'RPL28', 'CD19', 'KIDINS220', 'SERPINE2', 'CD1D', 'VDAC2', 'FCGR1A', 'RTN4', 'TEK', 'AMIGO2', 'GPI', 'LMNA', 'LRRC8B', 'CPZ', 'GPR56', 'PDGFRA', 'AXL', 'TMEM106B', 'CTSL1', 'ITM2B', 'KIR2DS4', 'NCAM2', 'MGAT4B', 'PLAT', 'P4HA1', 'NLGN1', 'FAM20B', 'HEXA', 'PTPRK', 'B4GALT5', 'HLA-DRB4', 'P2RY8', 'CCDC126', 'CDH2', 'ATL1', 'CCR7', 'SCN2B', 'CANX', 'LAMP1', 'TSPAN3', 'F5', 'TMX3', 'TRPC6', 'UNC84B', 'UQCRC2', 'SMPDL3B', 'NPY1R', 'THY1', 'SLC14A1', 'MPZL2', 'SLC44A5', 'MMGT1', 'SERPINA1', 'NXPH4', 'RPL32', 'S1PR3', 'APLP1', 'THSD1', 'ERO1L', 'GALNT5', 'ESAM', 'SLIT3', 'KIAA0644', 'GPR116', 'PKHD1L1', 'LRP5', 'PLXNA1', 'ACP2', 'LRFN1', 'NCSTN', 'BTN3A3', 'PTPRD', 'PDCD1', 'CDSN', 'TOR1B', 'HLA-DRA', 'ZP4', 'CLEC2B', 'SLCO4C1', 'LPAR5', 'PEAR1', 'HLA-A', 'TPP1', 'GNPTAB', 'TMIGD2', 'NTRK3', 'TYRP1', 'GDPD5', 'COL5A1', 'CYSLTR1', 'FCGR2A', 'PCDH19', 'KRT1', 'TMEM26', 'ELTD1', 'JAG2', 'CYTH1', 'BCAN', 'ELFN1', 'SEMA5A', 'CLEC1B', 'MYOF', 'JAM3', 'SERINC1', 'COL5A2', 'CXCR3', 'CADM3', 'SLC15A3', 'FNDC5', 'TOR1AIP2', 'QSOX1', 'PPT1', 'C1QTNF2', 'ITGB1', 'CD69', 'LIFR', 'GPC5', 'PCDH20', 'LAIR1', 'IGHG1', 'LOX', 'SLC1A4', 'HMCN1', 'RPL35', 'PANX1', 'TNFSF18', 'FOLR1', 'EFNA5', 'TLR2', 'ITGB6', 'PTPRQ', 'FBN1', 'TNXB', 'NPTN', 'FGFRL1', 'MICB', 'ICAM5', 'HSPG2', 'GFRA1', 'TMED4', 'ASAH1', 'CD3G', 'ROR2', 'COL7A1', 'PTGFRN', 'NFASC', 'ADAM9', 'BACE1', 'ULBP3', 'LEPR', 'CHST3', 'CYBB', 'CADM4', 'VTN', 'CLEC12A', 'RPN1', 'CD2', 'LRRC32', 'BMP1', 'THSD4', 'HHIP', 'F3', 'STT3B', 'PFN1', 'ITPR1', 'CGN', 'THBS2', 'TMEM106C', 'GMPS', 'FCRL6', 'SEMA6B', 'SCNN1D', 'RPL17', 'LRP10', 'SGCZ', 'ZDHHC5', 'FKTN', 'EFEMP1', 'TMEM181', 'MGAT5', 'SLC38A6', 'ITGA10', 'ADAM15', 'LIPA', 'NRP2', 'CNNM3', 'MEGF8', 'FKBP14', 'SUCNR1', 'ADAM10', 'GPR155', 'PCBP2', 'ADCY6', 'SUMF1', 'HS6ST1', 'SLC5A3', 'CLTC', 'ANTXR1', 'SLC39A6', 'FCAR', 'CDH15', 'LRRC25', 'EPHB2', 'SLC6A9', 'FCGR3A', 'ANO9', 'CD48', 'SORCS2', 'ATP1A3', 'MET', 'DPP4', 'PIGN', 'HSPA8', 'PLD3', 'AER61', 'RNF130', 'STEAP4', 'TLR1', 'CDH6', 'CD200R1', 'F2', 'IGSF3', 'VSTM1', 'KIR2DL5A', 'ATP6V0A2', 'CHST11', 'ITPRIP', 'ANGPTL2', 'EMB', 'PBXIP1', 'SCN2A', 'CREG1', 'SLC9A9', 'MUC4', 'GLT25D1', 'TRPV2', 'IGHG2', 'GPR107', 'MR1', 'RPS23', 'PODXL', 'PVRL1', 'SLITRK3', 'LYPD3', 'EPHB1', 'CD1B', 'NMUR1', 'EMR3', 'TUBB4', 'IL1R2', 'PTCH1', 'KIAA0090', 'INHBE', 'GUSB', 'PCDHGC5', 'ENPP1', 'TOR3A', 'SLITRK6', 'SLIT2', 'COL1A2', 'SSR2', 'EFNB3', 'MPZ', 'GALNT1', 'FBLN2', 'RAB5C', 'F2RL3', 'MME', 'EPX', 'CELSR2', 'NLGN2', 'RPLP2', 'SLC12A7', 'CERCAM', 'CD96', 'MRC1', 'COL6A3', 'ADCY9', 'KIAA1549', 'CNTN3', 'KDELC2', 'GALNT11', 'GLB1', 'ITGA1', 'G6B', 'OLFM1', 'CRIM1', 'PTPRG', 'OSMR', 'DYNC2H1', 'IFNAR2', 'RPL9', 'TAGLN2', 'SCARF2', 'CD72', 'PTGIR', 'KIAA1467', 'NCLN', 'ITGA9', 'LUM', 'CNNM2', 'ARSB', 'KIAA1161', 'SERPINA3', 'SIRPA', 'HLA-DPB1', 'TMEM179B', 'PRG2', 'CHST12', 'CXADR', 'CASP7', 'PSAP', 'FRAS1', 'SIL1', 'BRI3BP', 'GPNMB', 'TSPAN13', 'PHB2', 'ELANE', 'TMX4', 'FGA', 'VCAM1', 'FBN2', 'LRP4', 'PI16', 'HLA-C', 'AMBP', 'SIDT2', 'CHST7', 'FN1', 'UST', 'OLFML2B', 'COL12A1', 'CD164', 'OLFML3', 'ADAM8', 'OLFML2A', 'EEF1D', 'HLA-DQB2', 'GAPDHS', 'SLC38A9', 'METTL9', 'NPC1', 'FAT4', 'PCDH15', 'IMPAD1', 'P2RX4', 'CD33', 'MXRA8', 'PCDHA10', 'IGHM', 'GPR124', 'GRIK3', 'FCGR1C', 'VEGFC', 'LASS2', 'SEMA4F', 'PTTG1IP', 'TSPAN2', 'BMPR2', 'SELP', 'TIGIT', 'TMEM8A', 'PLBD1', 'SLC11A2', 'ADAMTS15', 'LRP12', 'F13A1', 'BTN2A1', 'ADCY7', 'CLN3', 'ACTN4', 'KIAA1324L', 'SLC8A1', 'ITGAV', 'SMO', 'PCDH7', 'GABRA2', 'GP5', 'HLA-B', 'PARM1', 'CD68', 'ATP1A1', 'CD226', 'TNFRSF8', 'ICOSLG', 'PLXNA4', 'SLC15A2', 'CLPTM1', 'GPR126', 'KIT', 'RPL27A', 'ODZ2', 'SPANXB1', 'PCDHGA8', 'ITGAM', 'AGTR2', 'MUC16', 'TPBG', 'PLD4', 'ODZ1', 'SLC39A14', 'BTLA', 'CLDN12', 'NUP210', 'KLRF1', 'C6orf120', 'ITGA4', 'TMEM104', 'SLC24A6', 'LMAN2', 'C10orf54', 'RELL1', 'GOLM1', 'B3GNT2', 'FGFR4', 'SLC6A6', 'LGALS3BP', 'VNN1', 'FCRL2', 'CTSL2', 'COL2A1', 'ELOVL4', 'PLAU', 'MERTK', 'CD97', 'TMEM9', 'ABCA1', 'PROM2', 'ZNF844', 'APCDD1', 'ERAP1', 'FICD', 'BVES', 'COL29A1', 'PLA2R1', 'AHSG', 'SGCD', 'SFRS3', 'CADM1', 'ANGPTL4', 'FCRL5', 'SLC19A1', 'LILRA5', 'CD70', 'CDH8', 'C12orf49', 'CALR', 'TSPAN4', 'TSPAN1', 'PGAP1', 'GMPPB', 'IL1R1', 'MFAP5', 'SEMA4C', 'HSD11B1', 'CD86', 'GPR132', 'ELOVL6', 'CD14', 'CASD1', 'COL1A1', 'CD83', 'LRRC4B', 'CACHD1', 'NAAA', 'IL17RA', 'ADRA2A', 'AARS', 'FLT3', 'GAPDH', 'SQRDL', 'MIA3', 'EDEM3', 'PLXNB2', 'SLC12A6', 'LMBRD2', 'ACE', 'SLCO3A1', 'THBS1', 'SLC29A1', 'LDLR', 'ERAP2', 'CRLF2', 'LY9', 'PPIAL4A', 'MAN2A2', 'GPR64', 'ABCC5', 'RET', 'BSG', 'IL10RA', 'MARCKS', 'ALCAM', 'MFSD8', 'GAA', 'ROR1', 'EMP2', 'SLC39A10', 'EXTL2', 'ITGA7']"
breast,endothelial cells,858953.6,['TFPI']
breast,fibroblasts,12274150.2,['DCN']
breast,macrophages,174568.60000000000,['GLA']
breast,smooth muscle cells,270470.20000000000,['MCAM']
breast,t-cells,931238.2000000000,['GZMH']
bronchus,basal respiratory cells,331689.80000000000,['IFNGR1']
bronchus,ciliated cells,89299.80000000000,['CELSR1']
bronchus,club cells,991685.0000000000,['LTF']
bronchus,ionocytes,141592.60000000000,['MSLN']
